1 0.23 0.23
6 0.42 0.42
11 0.8 0.8
16 0.67 0.67
21 1.62 1.62
26 1.95 1.95
31 3.33 3.33
36 1.88 1.88
41 3.6 3.6
46 5.18 5.18
51 7.55 7.55
56 12.5 12.5
61 12.55 12.55
66 23.6 23.6
71 19.36 19.36
76 18.56 18.56
81 66.93 66.93
86 34.38 34.38
91 245.38 245.38
96 183.84 183.84
101 72.89 72.89
106 144.01 144.01
111 125.79 125.79
116 296.18 296.18
121 146 146
126 428.67 428.67
131 150.04 150.04
136 147.16 147.16
141 648.08 648.08
146 341.68 341.68
151 417.43 417.43
156 215.98 215.98
161 198.9 198.9
166 1055.02 1055.02
171 641.71 641.71
176 603.71 603.71
181 1530.2 1530.2
186 651.04 651.04
191 6212.36 6212.36
196 1275.91 1275.91
201 1403.3 1403.3
