1	1	0	1	0	0	1	1	0	1
6	4	0	3	1	2	1	2	3	2
11	7	0	3	1	3	2	3	4	3
16	7	0	3	2	4	2	3	4	3
21	14	0	5	3	4	4	2	4	2
26	9	0	6	2	5	3	4	4	4
31	18	0	8	2	5	4	3	3	5
36	13	5	7	2	7	7	4	7	3
41	27	3	9	2	6	7	4	6	8
46	24	11	7	3	6	8	3	6	6
51	24	27	11	3	7	9	5	6	4
56	4	14	12	3	6	10	5	7	6
61	23	29	13	2	5	10	6	9	6
66	39	33	14	4	6	8	5	8	8
71	32	21	19	7	8	7	7	8	5
76		25	14	11	8	10	7	8	7
81		42	17	12	10	11	9	11	7
86		42	24	14	12	13	9	9	9
91		40	19	19	11	13	10	10	9
96		25	19	20	14	11	12	12	7
101		30	23	21	14	12	10	15	7
106			22	26	13	13	9	13	8
111			28	28	13	17	10	12	8
116			28	29	14	16	11	17	8
121			27	30	12	18	13	10	9
126				34	12	20	11	17	9
131				37	14	15	13	14	11
136				35	14	18	14	17	8
141				35	13	19	13	18	9
146				39	14	18	11	12	9
151				41	15	23	13	16	10
156				35	13	25	13	11	14
161				42	14	20	12	14	10
166				41	16	23	13	19	11
171				39	14	20	16	15	8
176				40	18	24	14	17	11
181				43	16	26	14	14	12
186				36	16	24	15	18	12
191				36	17	26	17	15	12
196				41	16	28	15	21	15
201				40	17	29	16	19	12
