1 0.35 0.35
6 0.85 0.85
11 1.24 1.24
16 1.51 1.51
21 2.08 2.08
26 2.35 2.35
31 2.31 2.31
36 3.24 3.24
41 3.92 3.92
46 4.66 4.66
51 4.42 4.42
56 7.39 7.39
61 7.54 7.54
66 14.96 14.96
71 7.98 7.98
76 8.54 8.54
81 13.75 13.75
86 13.14 13.14
91 12.28 12.28
96 18.66 18.66
101 20.39 20.39
106 26.8 26.8
111 53.03 53.03
116 38.68 38.68
121 40.41 40.41
126 47.21 47.21
131 94.78 94.78
136 55.11 55.11
141 101.39 101.39
146 146.43 146.43
151 58.12 58.12
156 91.1 91.1
161 3506.62 3506.62
166 164.26 164.26
171 200.75 200.75
176 1383.5 1383.5
181 1181.9 1181.9

