1 1.13 1.13
6 2.14 2.14
11 2.65 2.65
16 2.73 2.73
21 3.83 3.83
26 4.02 4.02
31 5.88 5.88
36 5.34 5.34
41 5.73 5.73
46 7.01 7.01
51 8.29 8.29
56 9.39 9.39
61 10.85 10.85
66 11.34 11.34
71 13.16 13.16
76 11.71 11.71
81 14.45 14.45
86 16.54 16.54
91 14.94 14.94
96 22.34 22.34
101 19.3 19.3
106 25.33 25.33
111 27.41 27.41
116 24.91 24.91
121 26.21 26.21
126 28.24 28.24
131 35.87 35.87
136 39.2 39.2
141 39.59 39.59
146 40.78 40.78
151 38.51 38.51
156 53.54 53.54
161 44.46 44.46
166 65.19 65.19
171 55.67 55.67
176 60.16 60.16
181 76.6 76.6
186 81.34 81.34
191 73.58 73.58
196 98.49 98.49
201 69.2 69.2
