?	?	?	?	474.61	2339.01	23.25	129.57	17.42	45.14	6.45	26.47	183.84	285.97	5.06	41.19	5.26	66.77	3.15	18.51	18.66	157.68	8.27	50.66	12.27	64.55	8.33	40.07	22.34	118.72	9.45	56.06	22.27	83.72	9.04	42.06
?	?	?	?	1530.94	12684.6	20.88	190.45	15.35	63.84	7.49	29.15	72.89	8287.77	16.37	37.96	8.45	45.95	3.49	15.64	20.39	283.91	10.39	42.26	14.37	112.76	8.43	44.24	19.3	110.74	7.29	59.69	30.12	114.54	10.9	58.37
?	?	?	?	?	?	?	?	29.14	62.57	8.55	35.06	144.01	1914.78	10.77	87.51	6.99	142.98	2.71	20.34	26.8	256.47	9.87	71.54	14.9	87.73	8.26	48.46	25.33	127.53	12.39	61.66	22.52	105.36	12.95	60.05
?	?	?	?	?	?	?	?	23.02	86.78	9.77	40.7	125.79	2087.8	9.28	44.44	8.33	153.28	4.35	29.02	53.03	363.47	14.01	71.2	18.09	123.52	9.65	59.8	27.41	156.76	11.88	75.95	30.98	137.33	10.95	48.58
?	?	?	?	?	?	?	?	25.7	95.04	9.33	49.8	296.18	1049.24	13.26	147.58	15.42	132.89	4.32	57.26	38.68	550.72	16.43	100.94	19.97	114.65	9.57	57.29	24.91	154.11	16.67	70.12	23.03	140.21	12.96	67.71
?	?	?	?	?	?	?	?	24.14	117.18	13.53	62.3	146	515.73	18.25	93.51	11.56	124.78	5.42	43.31	40.41	312.17	19.47	120.16	18.14	126.05	12.3	69.18	26.21	141.85	13.31	72.32	31.94	191.53	15.67	60.17
?	?	?	?	?	?	?	?	?	?	?	?	428.67	19284.5	28.63	213.26	16.03	397.72	6.86	46.98	47.21	231.28	18.91	76.89	17.36	141.23	13.16	88.01	28.24	244.05	18.64	108.65	29.49	184.6	16.97	85.2
?	?	?	?	?	?	?	?	?	?	?	?	150.04	6277.93	12.28	98.01	14.04	192.14	4.82	57.98	94.78	1541.28	25.16	127.18	21.26	183.91	9.96	89.58	35.87	212.8	15.98	110.49	40.28	197.23	16.51	64.74
?	?	?	?	?	?	?	?	?	?	?	?	147.16	2280.84	20.42	161.61	13.94	288.33	8.13	88.95	55.11	774.27	27.92	168.39	18.37	175.41	14.03	114.22	39.2	254.95	18.76	101.39	37.77	215.26	14.94	107.72
?	?	?	?	?	?	?	?	?	?	?	?	648.08	4078.54	41.06	118.18	15.93	351.35	7.15	70.96	101.39	578.24	26.22	186.88	26.17	221.37	15.51	108.8	39.59	364.54	20.02	111.85	37.12	257.43	18.38	100.53
?	?	?	?	?	?	?	?	?	?	?	?	341.68	3484.81	31.56	554.41	15.95	304.48	8.21	117.25	146.43	3509.9	35.28	233.05	21.3	223.39	16.91	98.97	40.78	299.76	17.65	89.05	37.29	240.86	18.23	94.2
?	?	?	?	?	?	?	?	?	?	?	?	417.43	7208.92	15.93	391.69	25.91	459.26	8.9	127.82	58.12	551.06	38.72	295.16	23.38	254.73	15.19	130.14	38.51	345.5	18.94	156.41	43.64	306.9	25.56	154.91
?	?	?	?	?	?	?	?	?	?	?	?	215.98	5923.47	65.59	360.09	19.69	469.46	12.26	114.17	91.1	1005.9	42.78	328.28	29.89	297.15	19.61	216.42	53.54	424.77	18.3	175.18	38.04	308.9	23.66	150.5
?	?	?	?	?	?	?	?	?	?	?	?	198.9	5285.47	72.48	801.98	27.52	668.1	12.87	171.86	3506.62	13189.7	68	341.61	27.49	306.78	18.64	174.22	44.46	449.02	21.69	190.81	54.13	419.63	31.46	125.79
?	?	?	?	?	?	?	?	?	?	?	?	1055.02	9054.43	54.12	499.66	30.14	469.41	11.83	207.91	164.26	1834.71	60.57	438.34	29.91	333.01	20.32	193.69	65.19	472.29	22.28	250.72	46.15	374.32	26.31	161.51
?	?	?	?	?	?	?	?	?	?	?	?	641.71	29672.2	55.46	622.44	30.12	1068.66	12.84	156.48	200.75	2032.48	64.7	328.1	34.67	393.97	21.75	289.5	55.67	570.31	33.68	241.39	64.03	431.01	29.36	161.36
?	?	?	?	?	?	?	?	?	?	?	?	603.71	11402.9	63.12	602.92	32.58	1448.12	12.29	222.06	1383.5	9028.33	68.05	641.21	42.7	483.96	28.83	259.93	60.16	498.95	30.78	261.69	65.67	506.91	32.16	233.32
?	?	?	?	?	?	?	?	?	?	?	?	1530.2	12962.9	96.9	714.68	34.57	672.96	19.6	196.11	1181.9	23438.1	63.39	506.17	34.25	494.06	24.87	294.05	76.6	549.74	25.04	264.49	96.99	645.93	37.76	226.91
?	?	?	?	?	?	?	?	?	?	?	?	651.04	6648.02	62.52	1280.64	69.83	1006.87	13.8	223.77	96543.3	19130.3	105.16	695.06	46.6	588.74	29.61	350.21	81.34	632.4	33.68	286.19	53.5	484.03	36.43	249.33
?	?	?	?	?	?	?	?	?	?	?	?	6212.36	19971.6	73.78	1683.65	53.81	2298.34	18.07	357.37	25528.1	7486.88	163.78	925.85	38.45	667.36	25.87	398.54	73.58	703.38	46.35	281.26	72.82	512.7	35.49	314.97
?	?	?	?	?	?	?	?	?	?	?	?	1275.91	66931.5	101.4	910.74	60.22	1833.31	22.62	386.29	4835.52	34700.4	157.59	976.33	41.2	557.34	27.57	350.07	98.49	833.14	37.34	261.79	68.69	662.25	41	310.03
?	?	?	?	?	?	?	?	?	?	?	?	1403.3	13005.9	339.26	1721.42	79.06	1197.59	30.18	406.93	16312.9	11961.2	162.47	1099.46	47.01	717.32	31.49	347.96	69.2	802.3	42.79	302.4	80.08	724.34	44.91	243.07
