1 0.23 0.12 0.144
6 0.42 0.18 0.264
11 0.8 0.28 0.404
16 0.67 0.34 0.486
21 1.62 0.33 0.735
26 1.95 0.32 1.182
31 3.33 0.72 1.545
36 1.88 0.86 1.328
41 3.6 1 1.741
46 5.18 0.95 2.415
51 7.55 1.85 3.763
56 12.5 2.58 5.008
61 12.55 2.95 5.031
66 23.6 3.12 9.418
71 19.36 3.09 9.535
76 18.56 5.14 9.548
81 66.93 4.46 23.219
86 34.38 7.46 15.808
91 245.38 12.33 55.967
96 183.84 5.06 35.315
101 72.89 16.37 29.239
106 144.01 10.77 44.292
111 125.79 9.28 54.102
116 296.18 13.26 67.814
121 146 18.25 66.44
126 428.67 28.63 120.33
131 150.04 12.28 63.692
136 147.16 20.42 75.722
141 648.08 41.06 174.296
146 341.68 31.56 126.407
151 417.43 15.93 131.546
156 215.98 65.59 150.273
161 198.9 72.48 150.092
166 1055.02 54.12 336.035
171 641.71 55.46 245.812
176 603.71 63.12 203.708
181 1530.2 96.9 478.692
186 651.04 62.52 379.803
191 6212.36 73.78 879.605
196 1275.91 101.4 422.601
201 1403.3 339.26 569.682
