1 0 0 0
6 3 1 2.2
11 5 3 4.1
16 7 3 4.6
21 10 3 6.2
26 15 2 9.8
31 16 6 10.5
36 13 6 9.7
41 16 7 10
46 18 6 12
51 24 9 15.1
56 25 12 16.7
61 27 13 16.3
66 34 12 20
71 30 12 19.9
76 29 15 18.7
81 44 13 26
86 35 17 22.8
91 53 22 31.7
96 44 13 25.6
101 36 18 26.1
106 41 18 28.8
111 45 16 29.7
116 48 18 30.2
121 44 20 32.8
126 50 22 34.8
131 42 14 28.7
136 40 21 31.9
141 61 24 38.1
146 47 24 34.5
151 54 18 36.7
156 46 32 38.9
161 49 32 40.1
166 63 32 45
171 56 25 40.2
176 58 26 39.7
181 65 29 48.6
186 65 30 48.7
191 67 30 45
196 71 34 48.4
201 73 46 54.8
