1	0	0.12
6	1	0.16
11	1	0.19
16	2	0.27
21	3	0.34
26	2	0.3
31	2	0.33
36	2	0.35
41	2	0.37
46	3	0.45
51	3	0.51
56	3	0.51
61	2	0.48
66	4	0.67
71	7	1.16
76	11	1.91
81	12	2.24
86	14	2.8
91	19	3.99
96	20	4.68
101	21	5.2
106	26	7.22
111	28	8.39
116	29	9.11
121	30	10.19
126	34	12.2
131	37	15.61
136	35	18.7
141	35	15.49
146	39	19
151	41	24.67
156	35	18.01
161	42	25.15
166	41	24.3
171	39	27.38
176	40	25.26
181	43	31.3
186	36	22.2
191	36	22.92
196	41	28.31
201	40	28.79
