1 0.35 0.35
6 0.37 0.37
11 0.54 0.54
16 0.65 0.65
21 1.2 1.2
26 0.93 0.93
31 1.28 1.28
36 1.65 1.65
41 1.49 1.49
46 2.1 2.1
51 2.11 2.11
56 2.03 2.03
61 2.94 2.94
66 2.49 2.49
71 3.04 3.04
76 3.49 3.49
81 4.94 4.94
86 5.24 5.24
91 6.46 6.46
96 5.26 5.26
101 8.45 8.45
106 6.99 6.99
111 8.33 8.33
116 15.42 15.42
121 11.56 11.56
126 16.03 16.03
131 14.04 14.04
136 13.94 13.94
141 15.93 15.93
146 15.95 15.95
151 25.91 25.91
156 19.69 19.69
161 27.52 27.52
166 30.14 30.14
171 30.12 30.12
176 32.58 32.58
181 34.57 34.57
186 69.83 69.83
191 53.81 53.81
196 60.22 60.22
201 79.06 79.06
