1 2.43 2.43
6 2.55 2.55
11 3.17 3.17
16 3.35 3.35
21 4.28 4.28
26 3.63 3.63
31 4.9 4.9
36 4.92 4.92
41 5.33 5.33
46 6.32 6.32
51 6.74 6.74
56 7.43 7.43
61 6.95 6.95
66 9.35 9.35
71 9.87 9.87
76 9.07 9.07
81 10.99 10.99
86 10.85 10.85
91 12.36 12.36
96 12.27 12.27
101 14.37 14.37
106 14.9 14.9
111 18.09 18.09
116 19.97 19.97
121 18.14 18.14
126 17.36 17.36
131 21.26 21.26
136 18.37 18.37
141 26.17 26.17
146 21.3 21.3
151 23.38 23.38
156 29.89 29.89
161 27.49 27.49
166 29.91 29.91
171 34.67 34.67
176 42.7 42.7
181 34.25 34.25
186 46.6 46.6
191 38.45 38.45
196 41.2 41.2
201 47.01 47.01
