#gate
1		 0.72		 0.63	
6		 0.84        1.22	
11		 1.62		 1.09
16		 1.71		 1.25	
21		 2.43		 1.78			
26		 2.49		 1.60	
31		 2.51		 3.12		 	
36		 4.25		 2.73		 	
41		 2.13		 3.96	
46		 2.99		 4.38	
51		 4.40		 3.00	
56		 3.18		 5.34	
61		 2.91		 6.68	
66		 4.52		 6.67	
71		 7.14		 4.27	
76		 7.31        5.22	
81		 9.79		 4.66	
86		 8.75		 6.82	
91		 10.46		 8.09	
96		 8.20		 11.30	
101		 14.44		 8.38	
106		 8.53		 16.26	
111		 13.95		 10.70	
116		 18.22		 8.55	
121		 9.39		 22.13
126		 9.22		 22.50
131		 21.42		 10.69	
136		 12.66		 28.46
141		 21.24		 15.86
146		 12.99		 30.39	
151		 34.36		 16.20
156		 16.80		 40.19	
161		 20.86		 34.30	
166		 29.89		 20.27
171		 17.86		 46.28	
176		 25.18		 58.71	
181		 24.92		 45.02	
186		 48.55		 28.47	
191		 57.33		 27.73
196		 62.25		 34.98	
201		 83.34		 28.19
